,neighbourhood_group,room_type,price,Popularity,Reviews,required_nights
0,Brooklyn,Private room,149,Very Affordable,Less than 10 reviews,Short term rent is available
1,Manhattan,Entire home/apt,225,Very Affordable,Less than 50 reviews,Short term rent is available
2,Brooklyn,Entire home/apt,89,Affordable,Less than 300 reviews,Short term rent is available
3,Manhattan,Entire home/apt,80,Very Popular,Less than 10 reviews,At least a week should be reserved
4,Manhattan,Entire home/apt,200,Normal,Less than 150 reviews,Short term rent is available
5,Brooklyn,Private room,60,Very Popular,Less than 50 reviews,At least more than a month should be reserved
6,Manhattan,Private room,79,Very Affordable,Over 300 reviews,Short term rent is available
7,Manhattan,Private room,79,Very Popular,Less than 150 reviews,Short term rent is available
8,Manhattan,Entire home/apt,150,Affordable,Less than 300 reviews,Short term rent is available
9,Manhattan,Entire home/apt,135,Very Popular,Less than 150 reviews,Short term rent is available
10,Manhattan,Private room,85,Popular,Less than 300 reviews,Short term rent is available
11,Brooklyn,Private room,89,Very Affordable,Less than 300 reviews,Short term rent is available
12,Manhattan,Private room,85,Very Affordable,Less than 150 reviews,Short term rent is available
13,Manhattan,Entire home/apt,120,Very Popular,Less than 50 reviews,Sublet only
14,Brooklyn,Entire home/apt,140,Popular,Less than 150 reviews,Short term rent is available
15,Brooklyn,Entire home/apt,215,Very Affordable,Less than 300 reviews,Short term rent is available
16,Manhattan,Private room,140,Very Popular,Less than 300 reviews,Short term rent is available
17,Brooklyn,Entire home/apt,99,Very Popular,Less than 150 reviews,Short term rent is available
18,Brooklyn,Entire home/apt,299,Very Popular,Less than 10 reviews,Short term rent is available
19,Brooklyn,Private room,130,Very Affordable,Less than 150 reviews,Short term rent is available
20,Brooklyn,Private room,80,Very Affordable,Less than 50 reviews,Short term rent is available
21,Brooklyn,Private room,110,Very Affordable,Less than 150 reviews,Short term rent is available
22,Brooklyn,Entire home/apt,120,Very Affordable,Less than 150 reviews,Short term rent is available
23,Brooklyn,Private room,60,Popular,Less than 50 reviews,Short term rent is available
24,Manhattan,Entire home/apt,150,Popular,Less than 150 reviews,At least a week should be reserved
25,Manhattan,Private room,44,Very Affordable,Less than 150 reviews,Short term rent is available
26,Manhattan,Entire home/apt,180,Popular,Less than 50 reviews,At least a week should be reserved
27,Manhattan,Private room,50,Very Affordable,Less than 300 reviews,Short term rent is available
28,Manhattan,Private room,52,Very Affordable,Less than 150 reviews,Short term rent is available
29,Brooklyn,Private room,55,Very Affordable,Less than 300 reviews,Short term rent is available
30,Manhattan,Private room,50,Very Affordable,Less than 300 reviews,Short term rent is available
31,Brooklyn,Private room,70,Very Affordable,Less than 150 reviews,Short term rent is available
32,Brooklyn,Private room,89,Very Affordable,Less than 300 reviews,Short term rent is available
33,Brooklyn,Entire home/apt,85,Very Popular,Less than 300 reviews,Short term rent is available
34,Manhattan,Shared room,40,Affordable,Less than 300 reviews,Short term rent is available
35,Manhattan,Private room,68,Normal,Less than 300 reviews,Short term rent is available
36,Brooklyn,Entire home/apt,120,Very Affordable,Less than 50 reviews,Short term rent is available
37,Brooklyn,Private room,120,Very Affordable,Less than 50 reviews,At least a week should be reserved
38,Manhattan,Private room,135,Very Affordable,Less than 150 reviews,Short term rent is available
39,Manhattan,Entire home/apt,150,Very Affordable,Less than 150 reviews,At least a week should be reserved
40,Brooklyn,Entire home/apt,150,Normal,Less than 50 reviews,At least more than 2 weeks should be reserved
41,Queens,Private room,130,Very Affordable,Less than 300 reviews,Short term rent is available
42,Brooklyn,Entire home/apt,110,Very Affordable,Less than 150 reviews,At least a week should be reserved
43,Brooklyn,Entire home/apt,115,Very Popular,Less than 50 reviews,Short term rent is available
44,Brooklyn,Private room,80,Affordable,Less than 150 reviews,Short term rent is available
45,Brooklyn,Private room,80,Very Affordable,Less than 150 reviews,Short term rent is available
46,Manhattan,Entire home/apt,151,Very Affordable,Less than 150 reviews,Short term rent is available
47,Brooklyn,Entire home/apt,228,Normal,Less than 150 reviews,Short term rent is available
48,Brooklyn,Entire home/apt,144,Very Affordable,Over 300 reviews,Short term rent is available
49,Manhattan,Entire home/apt,200,Very Affordable,Less than 50 reviews,At least a week should be reserved
50,Brooklyn,Entire home/apt,150,Popular,Less than 150 reviews,At least more than a month should be reserved
51,Manhattan,Private room,110,Very Affordable,Less than 50 reviews,Short term rent is available
52,Manhattan,Private room,69,Very Affordable,Less than 300 reviews,Short term rent is available
53,Brooklyn,Private room,49,Very Affordable,Less than 150 reviews,Short term rent is available
54,Manhattan,Entire home/apt,180,Affordable,Less than 50 reviews,At least more than a month should be reserved
55,Brooklyn,Private room,80,Very Affordable,Less than 50 reviews,Short term rent is available
56,Manhattan,Entire home/apt,375,Affordable,Less than 10 reviews,Sublet only
57,Manhattan,Entire home/apt,250,Very Affordable,Less than 150 reviews,Short term rent is available
58,Brooklyn,Entire home/apt,200,Very Affordable,Less than 150 reviews,At least more than a month should be reserved
59,Brooklyn,Private room,55,Very Affordable,Less than 50 reviews,At least a week should be reserved
60,Manhattan,Private room,52,Affordable,Less than 300 reviews,At least more than a month should be reserved
61,Brooklyn,Entire home/apt,225,Very Popular,Less than 10 reviews,Short term rent is available
62,Manhattan,Private room,80,Popular,Over 300 reviews,Short term rent is available
63,Brooklyn,Entire home/apt,275,Very Affordable,Less than 150 reviews,Short term rent is available
64,Manhattan,Private room,99,Very Affordable,Less than 150 reviews,Short term rent is available
65,Manhattan,Entire home/apt,225,Very Affordable,Less than 300 reviews,Short term rent is available
66,Manhattan,Entire home/apt,230,Normal,Less than 50 reviews,At least a week should be reserved
67,Manhattan,Private room,51,Popular,Less than 50 reviews,At least a week should be reserved
68,Manhattan,Private room,65,Very Affordable,Less than 50 reviews,Short term rent is available
69,Brooklyn,Private room,105,Very Affordable,Less than 150 reviews,Short term rent is available
70,Manhattan,Entire home/apt,190,Very Affordable,Less than 50 reviews,Short term rent is available
71,Manhattan,Private room,200,Very Affordable,Less than 150 reviews,Short term rent is available
72,Queens,Private room,70,Very Affordable,Less than 50 reviews,At least more than a month should be reserved
73,Brooklyn,Private room,95,Normal,Less than 150 reviews,Short term rent is available
74,Manhattan,Private room,150,Very Affordable,Less than 300 reviews,Short term rent is available
75,Brooklyn,Private room,145,Very Affordable,Less than 150 reviews,Short term rent is available
76,Manhattan,Entire home/apt,110,Affordable,Less than 150 reviews,At least more than a month should be reserved
77,Manhattan,Entire home/apt,285,Very Affordable,Less than 150 reviews,Short term rent is available
78,Brooklyn,Entire home/apt,130,Popular,Less than 50 reviews,Short term rent is available
79,Manhattan,Private room,94,Affordable,Less than 150 reviews,At least more than a month should be reserved
80,Brooklyn,Entire home/apt,800,Very Popular,Less than 50 reviews,Short term rent is available
81,Brooklyn,Entire home/apt,105,Very Affordable,Less than 150 reviews,Short term rent is available
82,Manhattan,Private room,60,Very Popular,Less than 300 reviews,Short term rent is available
83,Manhattan,Private room,50,Very Popular,Less than 10 reviews,Short term rent is available
84,Brooklyn,Private room,85,Very Affordable,Less than 300 reviews,Short term rent is available
85,Brooklyn,Private room,65,Very Affordable,Less than 50 reviews,Short term rent is available
86,Brooklyn,Entire home/apt,131,Affordable,Less than 300 reviews,Short term rent is available
87,Brooklyn,Private room,98,Affordable,Less than 50 reviews,At least a week should be reserved
88,Brooklyn,Entire home/apt,250,Affordable,Less than 50 reviews,At least a week should be reserved
89,Brooklyn,Entire home/apt,100,Very Popular,Less than 300 reviews,Short term rent is available
90,Brooklyn,Entire home/apt,105,Very Popular,Less than 150 reviews,Short term rent is available
91,Manhattan,Entire home/apt,140,Affordable,Less than 150 reviews,Short term rent is available
92,Manhattan,Private room,89,Very Affordable,Less than 10 reviews,Short term rent is available
93,Manhattan,Private room,98,Very Affordable,Less than 50 reviews,At least more than a month should be reserved
94,Brooklyn,Entire home/apt,125,Very Affordable,Less than 150 reviews,At least a week should be reserved
95,Manhattan,Private room,60,Very Affordable,Less than 50 reviews,Short term rent is available
